"Json_ID","Size","McCabe","Readability","#Revisions"
"34282.json","18","1","0.0036274699959903955","1"
"37881.json","7","1","0.04987692832946777","1"
"81849.json","18","4","6.608240655623376E-4","1"
"42839.json","9","2","0.2624824345111847","23"
"37104.json","4","1","0.08709686994552612","1"
"79882.json","4","1","0.7511071562767029","1"
"22424.json","11","2","0.022522443905472755","3"
"56453.json","4","1","0.3708958923816681","1"
"30860.json","5","1","0.10162129998207092","1"
"2616.json","10","2","0.18094776570796967","2"
"6015.json","3","1","0.7965536117553711","3"
"8877.json","3","1","0.8187799453735352","3"
"66326.json","16","4","0.6742681860923767","2"
"65544.json","3","1","0.602369487285614","1"
"79525.json","4","1","0.09766586869955063","1"
"4049.json","4","1","0.8105503916740417","2"
"59080.json","9","2","0.06056848540902138","4"
"82409.json","3","1","0.8311431407928467","1"
"48189.json","3","1","0.6555777192115784","3"
"39113.json","3","1","0.9295437932014465","1"
"78740.json","3","1","0.7403817772865295","6"
"31475.json","60","2","0.0","1"
"43749.json","37","10","0.0","4"
"61205.json","8","2","0.34841397404670715","1"
"29189.json","5","1","0.24327494204044342","1"
"68024.json","3","1","0.3300761282444","1"
"47074.json","3","1","0.4428040087223053","3"
"11494.json","15","2","0.05869230255484581","5"
"80940.json","3","1","0.7138439416885376","2"
"5824.json","3","1","0.07839713245630264","7"
"21506.json","3","1","0.053380582481622696","1"
"40699.json","3","1","0.2948459982872009","1"
"18970.json","27","2","0.0","3"
"23547.json","9","2","0.30637702345848083","1"
"11984.json","40","7","0.0","21"
"3618.json","23","4","6.051118834875524E-4","8"
"2127.json","5","1","0.22200481593608856","5"
"60144.json","3","1","0.8410241007804871","4"
"41739.json","5","1","0.25180670619010925","1"
"32179.json","3","1","0.8104848265647888","6"
"74864.json","4","1","0.06118696555495262","1"
"49903.json","3","1","0.00988231971859932","3"
"78556.json","5","1","0.2544206976890564","1"
"54254.json","3","1","0.03386073559522629","1"
"74717.json","8","1","0.001192003139294684","6"
"3732.json","3","1","0.8061023354530334","2"
"78101.json","5","2","0.697437584400177","1"
"58634.json","3","1","0.6543203592300415","1"
"36169.json","3","1","0.07811814546585083","1"
"76206.json","7","2","0.6891918182373047","4"
"71007.json","12","3","0.4194508492946625","1"
"14431.json","3","1","0.4399592876434326","4"
"41016.json","3","1","0.7092880606651306","1"
"53774.json","3","1","0.009939732030034065","1"
"36565.json","3","1","0.4595503807067871","1"
"12467.json","3","1","0.9504238367080688","3"
"78732.json","4","1","0.04459415003657341","8"
"13422.json","7","1","0.29369014501571655","1"
"78656.json","33","7","0.007952922023832798","1"
"19663.json","24","6","7.747459458187222E-4","3"
"2176.json","12","3","0.08205167949199677","2"
"57682.json","2","1","0.0","1"
"79481.json","3","1","0.1458866447210312","4"
